,text,category,toxicity_score,severe_toxicity_score,identity_attack_score,profanity_score,sexually_explicit_score,inflammatory_score,threat_score
49,Actress Rita her Baby on Her Birthday Click on the BLUE LINK 👆 To Watch Chief Of Staff NO LEAVE NO TRANSFER BATSHET2023 Obidatti2023,sports,0.076110736,0.1739022,0.1585242,0.1608741,0.20932075,0.09735721,0.35023183
50,Nobody a damn about his . Mane won qualified for World - beating in the process,sports,0.50743616,0.4127656,0.10057918,0.78131807,0.04590857,0.72325516,0.6060153
51,Actress Rita her Baby on Her Birthday Click on the BLUE LINK 👆 To Watch Chief Of Staff NO LEAVE NO TRANSFER BATSHET2023 Obidatti2023,sports,0.076110736,0.1739022,0.1585242,0.1608741,0.20932075,0.09735721,0.35023183
52,5912 Actress Rita her Baby on Her Birthday Click on the BLUE LINK 👆 To Watch Chief Of Staff NO LEAVE NO TRANSFER BATSHET2023 Obidatti2023,sports,0.13924801,0.16753392,0.14353769,0.154164,0.2080257,0.09087631,0.3178399
53,Actress Rita her Baby on Her Birthday Click on the BLUE LINK 👆 To Watch Chief Of Staff NO LEAVE NO TRANSFER BATSHET2023 Obidatti2023,sports,0.076110736,0.1739022,0.1585242,0.1608741,0.20932075,0.09735721,0.35023183
54,Just like he did in the final and the World Cup qualifier 😂,sports,0.02655065,0.033632524,0.03519495,0.031139916,0.050865263,0.20349114,0.13686527
55,This is the same who won the with recently but I ’ m supposed to believe he ’ s old 😂,sports,0.09387396,0.04717937,0.045413077,0.08095407,0.12700212,0.43814105,0.18554202
56,"Last I watched was during and man was standout at the back 🤩 I ’ m excited bout this one sha , your 😂",sports,0.09387396,0.0655937,0.058224477,0.1303612,0.26563284,0.052456237,0.2331768
57,never won I know who I ’ m taking,sports,0.074912034,0.03546758,0.06436201,0.073058695,0.08177569,0.11747186,0.073692046
58,"Rival be like "" this is not the of 2017 "" Can i please know when the last was ?? Man even Sancho last season . 😂😂😂",sports,0.019436494,0.04323737,0.046697926,0.042416446,0.048958518,0.09345361,0.11229105
59,Being a central defender is mostly about good and reading the game well . don ’ t have to work as hard and run as much as most other on the pitch so they can go on a bit longer . From what I saw of at the he ’ s a complete athlete .,sports,0.013258465,0.02358972,0.034136552,0.036391333,0.046555832,0.052355982,0.04174484
60,"injury history is not that bad . He "" only "" 18 out of 114 A last 3 due to injury . The rest is by COVID , and . And only 9 % of league in his last two . Last season he 45 .",sports,0.046465382,0.023388848,0.023726638,0.017535897,0.015917236,0.17845725,0.08277588
61,"Not entirely true ! Mane shone more after when ’ s form declined a bit , whereas the latter was way above everybody else before then . Personally can ’ t really separate the two . Whoever comes out on top , highest .",sports,0.025863936,0.014095424,0.03086747,0.018625174,0.024050819,0.077423014,0.036326773
62,Put your trophy on the table .,sports,0.0813051,0.07351092,0.04624652,0.08422739,0.17825587,0.178663,0.42691883
63,Black intensify ahead of qualifier against . 22 at the disposal of Coach before he down to his final 15 for the 23rd first leg in . 🏖️ ⚽ 🇬🇭🦈 BSAFCON2022,sports,0.1334155,0.10122449,0.17353942,0.14958516,0.209958,0.16300142,0.11958854
64,? did they not watch him in,sports,0.042001735,0.0445454,0.054221936,0.049386173,0.053632144,0.32002783,0.21199054
65,we all watched masa,sports,0.032731086,0.03149881,0.061909847,0.047965866,0.053707715,0.056164272,0.11834844
66,": 20 / 21 - 48 ( 3446 ) 21 / 22 - 47 ( 2931 ) Sterling : 20 / 21 - 48 ( 3703 ) 21 / 22 - 47 ( 3088 ) I ’ m actually they same amount of . Sterling more , also .",sports,0.033074442,0.10362876,0.15987504,0.12841088,0.14540304,0.06386167,0.26422387
67,We all do . He ' s the cheap . But nobody him as he ' s in league apparently . Well he stopped the king at,sports,0.22977416,0.07510522,0.09242241,0.079975024,0.045272857,0.66998726,0.15954344
68,no wan win World Cup and too ?,sports,0.05253629,0.020523937,0.022407524,0.019291213,0.04995387,0.08390591,0.07692205
69,I don ' t think you watched last season A and,sports,0.026207292,0.027192947,0.057465926,0.035985243,0.0255617,0.082097396,0.07889705
70,rage00 Mane won the for that fraud,sports,0.42750368,0.114031486,0.08888291,0.15109982,0.12646239,0.374444,0.2387928
71,Great news this will be a good addition to the back line especially that is now to hold in 2024 .,sports,0.011175984,0.011275436,0.017934201,0.011134868,0.018718258,0.05398216,0.051198516
72,' t he win the this year,sports,0.028782474,0.02147869,0.033036463,0.034396403,0.041340914,0.14256343,0.07504352
73,Happy with it . Experienced player and me he is a winner . And is the perfect replacement . will be petrified to play him .,sports,0.029125832,0.015633686,0.01699071,0.017518312,0.027528048,0.20048894,0.08455315
74,I watched him in the this year and he was still very solid . Haven ’ t watched him for in a while but he still like a very reliable - very happy with it . was never going to be easy .,sports,0.017909339,0.031232812,0.038808875,0.04473671,0.10399968,0.0868356,0.09114327
75,"In what sense ? I never really watched him in A , with in he was good . A call him elite . What ’ s your take ?",sports,0.038053125,0.033739243,0.03597932,0.04540235,0.045165524,0.39817023,0.13743097
76,Let enjoy + until 2024 when they go to the and we now use and . 😄,sports,0.012564304,0.052044705,0.063271984,0.038889572,0.1112486,0.24703552,0.29361504
77,"For your mouth , remember he went for between and and the was standing in his absence 🤣🤣🤣",sports,0.16035037,0.22877362,0.08345855,0.1843689,0.48365456,0.25492674,0.1876815
78,I watched a couple of . But I ’ t focus on him . Also during . I trust tho,sports,0.055333257,0.03907337,0.05827323,0.07252979,0.12357761,0.05869696,0.11163661
79,just like yesterday when I first saw u in color at with the jersey No 20 u came in and made it 4 - 0 in favor of with ur brace . ur and steadfastness can never be forgotten brother . IN ADVANCE LEGEND .. follow back 🙏🏽,sports,0.065721996,0.030288033,0.05070641,0.039421666,0.062854216,0.26164088,0.06497883
80,": The team $ 378 , 000 to oust and dethrone Super Falcon for the Cup",sports,0.023460433,0.02075229,0.028076276,0.02558378,0.042163532,0.23969062,0.09840735
81,Testosterone testing in sport is used to verify gender and – controversially – determine whether female with high testosterone have an unfair advantage,sports,0.11343288,0.012691592,0.03562776,0.017345818,0.12582158,0.14120841,0.021408921
82,I beg make u no use judge am . I beg,sports,0.1621016,0.116456226,0.0969926,0.15781793,0.21372811,0.1621795,0.25732338
83,One of the best ’ s last season and won on your head top,sports,0.05093802,0.038238455,0.025641704,0.025416005,0.0393515,0.21259624,0.23715882
84,"World cup 1998 , 2002 , 2006 , 2010 , 2014 , 2018 1998 onwards 96 , 2000 , 2004 , 2008 , 2012 , 2016 , 2021 2004 onwards from 1996 onwards presidential Election from 1996 onwards inauguration of president from 1996 onwards Makuniversitystrikes2009 onwards",sports,0.06971766,0.03979365,0.069885254,0.068917625,0.087865874,0.032720003,0.07258588
85,"rage00 won , like a dick and got his country",sports,0.8346757,0.7660272,0.51528496,0.93690646,0.97149086,0.50902826,0.31995293
86,Super Guinea - May Be,sports,0.040628307,0.010338538,0.0194317,0.015410578,0.034000237,0.12492349,0.063736975
87,"calling a gamble . You ’ re stupid man . Not even argue with you any longer , you ’ t buy to start , he was bought cos and mane were at and so he can play second fiddle to them . If mane ’ t leave he ’ s the sitting his ass in bench , today 😂?",sports,0.8795294,0.7051723,0.46620142,0.8868394,0.92747504,0.62749344,0.27538693
88,He won in 2022 😂,sports,0.013258465,0.0335082,0.03782028,0.07166788,0.11503471,0.20553319,0.13164559
89,"He no fuss , no . well for during but ' t quality . should find him a new club , perhaps pay part of his wages , and give him a decent send of . He will then always speak well about even if it ' t work out at the pitch",sports,0.10699297,0.04400602,0.04245845,0.04220754,0.052443992,0.43845195,0.17624567
90,"He scored 23 while an in the middle of the season , are only in the premier league now ??? Mane will be a lot bigger miss than people think , it ' t just his , he is one of the best defensive I ' ever seen",sports,0.0186035,0.027275464,0.04231619,0.033830572,0.050319735,0.20498802,0.083748445
91,So never practiced for ? Is that what you ' re saying ? You must have garbage for brains .,sports,0.78018236,0.39083666,0.21135269,0.46838835,0.06871696,0.5988916,0.12013093
92,"I suspect him with more than satisfactory ' '. However , the man is a talent that every media house will be happy to have in their fold . He should be given the platform in big like the W / Cup and . Educator .",sports,0.032731086,0.02292483,0.028893396,0.016671104,0.036087412,0.35780242,0.07116009
93,a No next year .. It been,sports,0.025005542,0.015553333,0.022388672,0.023011854,0.032453764,0.13653359,0.03249697
94,It was not,sports,0.015340946,0.018538982,0.031176701,0.033959746,0.044018324,0.095234565,0.060291715
95,Good but you do know that if we just reach am semi final for the ' s we ' our place world cup .,sports,0.03736641,0.011729761,0.017649392,0.018393887,0.04191872,0.18028481,0.0468364
96,I ’ t know want to play 🌚,sports,0.03204437,0.037995268,0.056037158,0.05760441,0.06262171,0.2623522,0.11147312
97,27 man ' s literally carried the second half of the season while was suffering from,sports,0.02193547,0.041524746,0.093952976,0.049409937,0.035371378,0.18393949,0.20793363
98,Just face your 😂😂,sports,0.27045983,0.06666133,0.05022456,0.08385236,0.20734347,0.27352044,0.28202718
99,G ’ t that what i was talking about when they Joe and nominated so many mediocre in the player of the year .,sports,0.5124461,0.11682953,0.08115909,0.10804167,0.030768747,0.11176386,0.09250924
100,please no silly like last season and season go back to form before,sports,0.42631236,0.22709702,0.12127722,0.30108753,0.033524986,0.29965818,0.086535804
101,The guy who won the and the player of the tournament 👍,sports,0.02929751,0.01783976,0.021348165,0.024174675,0.035102542,0.15939501,0.05527427
102,"Mane was the player of the competition , well also had a good squad around him , they both were in the final",sports,0.024833864,0.030508464,0.029519921,0.032359123,0.07239559,0.1897368,0.19710584
103,"And we have 1 but first were between 3 or 4 . We won with 24 , the best in . It ' s harder to win now , you Can agree with it , i ' m sure ;)",sports,0.011453647,0.01755963,0.022315474,0.029358359,0.06288921,0.03982096,0.04181677
104,"I we should ’ gone with an - - with just ahead of them in , and I ’ m sure it would ’ worked really well at the time . I ’ m even more sure now",sports,0.057331093,0.034600846,0.034112237,0.043273106,0.056497846,0.34167463,0.2419922
105,Win young player of the tournament and player of the tournament in 2019,sports,0.011523063,0.010795291,0.014498984,0.021758566,0.03700764,0.0252331,0.026337558
106,Crystal Palace starting 11 like an squad .,sports,0.07011723,0.09126312,0.07166807,0.077220455,0.08681943,0.4421224,0.40770826
107,"No , you the one should be if anything , your single should not make you that confident and you even won by in every occasion which total luck 😂😂 In that tournament , actually no way the team who won Morocco , Cote d ' , is the worst",sports,0.2712817,0.048618075,0.052887462,0.038127992,0.01321303,0.43840232,0.06936811
108,Boo 🤣🤣 haven ' t those since they lost the final .,sports,0.086087525,0.038646817,0.0680333,0.041698772,0.03157271,0.65048176,0.10032245
109,he a lot to make up for after that abysmal form post,sports,0.08689302,0.06877632,0.10942273,0.09701801,0.09327891,0.4798212,0.13513282
110,"Are you being fair to them ? ’ s have barely have a rest in the last three . The they play , sometimes up to 75 a season , is just too much . They are not . And this year been very difficult , with the and the final .",sports,0.022773718,0.011992008,0.02132391,0.00803074,0.008550144,0.05773833,0.013103796
111,Mane will win 2nd . In 2024 . 😂😂😂,sports,0.013397297,0.040513515,0.051142663,0.059408013,0.091358505,0.044774808,0.1868667
112,", 2nd for that it is",sports,0.023288755,0.020039447,0.033851743,0.041470483,0.041330148,0.108203776,0.06788401
113,"break down low . Mane was ineffective , was finished and was absolutely after . The only reason we won a lot of those in the first half was down to ' s individual brilliance . The team as a whole better in the second half .",sports,0.077709,0.04779914,0.0707734,0.04072986,0.036035642,0.18402193,0.15491004
114,Why owner ' s on not are problematic,sports,0.07850813,0.023221886,0.075311795,0.05936504,0.04160081,0.1464003,0.043906137
115,Good . One of the most player in the world . Was the player of the for during the 2019 .,sports,0.012425472,0.011576717,0.010496418,0.013103394,0.019941438,0.061339565,0.021969894
116,We really him in the . Great talent,sports,0.03994159,0.034254506,0.03924192,0.055385537,0.14207795,0.16687341,0.15708746
117,"Considering , we lose , and this guy . That ’ s going to be a problem in",sports,0.09279997,0.04702235,0.035742987,0.047735404,0.046000216,0.37492558,0.19416761
118,Don ' t ever compare football to any other sports in this . Imagine the Black being at the of or any major tournament . The ... !!! People no go feel sleep nor eat 😂😂,sports,0.355017,0.11154137,0.32473505,0.06278826,0.063675925,0.6499816,0.2018102
119,They ' t survive two in the,sports,0.06532243,0.025629375,0.040137134,0.03933743,0.055978376,0.19076885,0.1270681
120,"That ' t the first time he ' d been in the middle . I , easily my top 3 at the time but he ' t great the middle or wide . He was missing of that had nothing to do with his position on the pitch . He just found form in",sports,0.030327583,0.03045553,0.032235485,0.05248376,0.06662473,0.2213657,0.094885685
121,"I mean , he ' t lying . Before came back from the popular sentiment on Twitter & ; most other was that was aging & ; do not dare offer him a fat new contract extension . When , most people had being the one to hit the bench . All forgotten now",sports,0.12631269,0.043374386,0.09292738,0.05147463,0.026728738,0.49199325,0.12157197
122,Round 2 : Question 1 ; was the top scorer of which tournament ? TheBosGameShowS2,sports,0.04543531,0.023547275,0.041500624,0.031825796,0.056045376,0.014655807,0.047957335
123,"Reason I say is a mad man made us know this is our best set up , we to start this way at",sports,0.21362646,0.097768806,0.17863195,0.20956422,0.075499445,0.08088762,0.18494265
124,"💙🌍 New 🌍💙 Mike 🇺🇸 Part 1 : How a fan (~ 0 : 53 ) Part 2 : Match Review - (~ 13 : 23 ) Part 3 : farewell video , ’ about and more (~ 34 : 25 )",sports,0.020408317,0.012765682,0.00831124,0.020932507,0.09534781,0.0015223598,0.048272356
125,Round 1 : Question 14 ; At which stage of the 2008 did face La Cote D ’ ? TheBosGameShowS2,sports,0.02124131,0.05402564,0.06600639,0.07399815,0.121773444,0.13152517,0.12502606
126,a A whole 🤣,sports,0.08050597,0.019681206,0.0303306,0.032642197,0.046749372,0.15207848,0.054757513
127,📰 | every two and the other that need to be scrapped in football,sports,0.1894391,0.11827313,0.10889815,0.088923395,0.06323885,0.29602504,0.5949395
128,"barnes56 True and it ' s not just , soccer to our won . Where was the support 😏",sports,0.018187003,0.018282495,0.030558791,0.024848914,0.04175887,0.24986526,0.04112786
129,won a cup ... and there was no sign of .... it was just victory .... go F your self,sports,0.6430099,0.18318792,0.052964155,0.2144482,0.13281062,0.350274,0.103846714
130,"How time , just last y ' all ' t want him anywhere near the team , you lot were saying he should stay back in after the , now you lots can ' t wait to pair him with",sports,0.060927194,0.041488513,0.05104606,0.061232995,0.10969784,0.5030264,0.08757762
131,to the from ' s president about not wanting to sign unless they agree to not take part in 😤,sports,0.024833864,0.042755086,0.09789089,0.045423802,0.053780172,0.3435148,0.1172512
132,"31 game last year and was injured in just 3 of them while being suspended in 1 and 4 of the , u talking",sports,0.05413456,0.034221888,0.04991568,0.04857514,0.077967905,0.16700912,0.16141711
133,"KO like "" some shop at and we shop at "" ' maybe the is bigger than '😂😂😂😂😂",sports,0.032559406,0.04150945,0.06314248,0.056912694,0.11335513,0.019743998,0.11294425
134,I covered the super last home game against Sierra . And I saw how alongside Joe in the middle of the park . I ' m not on how he today against . He always been a and not a winger,sports,0.01527153,0.025546344,0.04724783,0.028057523,0.032379027,0.38066643,0.058524523
135,"barnes56 won , did you watch it or post anything about it ? Of course not and ' t much your narrative . is what your involvement",sports,0.0471521,0.02993395,0.043047003,0.021837972,0.02556974,0.1677729,0.039774407
136,It what after the World Cup i mean remember what to after 🤷‍♂️,sports,0.070516795,0.023721678,0.05195587,0.04165005,0.08873556,0.1270532,0.078099884
137,"won the few days ago but I ' t see them with Black majority the victory , it will always be Black wanting to mix with .",sports,0.39694545,0.17349574,0.5375206,0.16307344,0.10743026,0.8147743,0.2251982
138,We ' always have fool people around the world .... Mane told not to celebrate the because he ' t want to toy with ' s emotion ( Humble being to d core ).. you ' not read d good aspect of the News of d stupid hatred you have for other party,sports,0.7138269,0.3628955,0.12368031,0.5581583,0.12080259,0.5849525,0.05981214
139,This could be the 5th war in 15 . Even for don tire,sports,0.08796701,0.05648381,0.0666652,0.051597953,0.06679342,0.57837003,0.2785701
140,"Won , player of the yeah , you name it",sports,0.046465382,0.016785841,0.015993793,0.027574193,0.04419715,0.13094951,0.05448551
141,boycott and .,sports,0.09065199,0.05677166,0.06370109,0.09279225,0.09441906,0.102572784,0.11537442
142,you just watch the right cause this past year was the most entertaining tournament in football,sports,0.022773718,0.019212343,0.016880853,0.0275792,0.039306585,0.11063579,0.074227884
143,"As Told My love for … obviously cos he was a red , and yes he was washed ! Until & ;& ;",sports,0.11536485,0.023997927,0.047735814,0.025353706,0.05600725,0.08832407,0.02601752
144,Crystal Palace can play in the 🤔,sports,0.084745035,0.02566924,0.04677104,0.038221072,0.07281437,0.22557431,0.07614268
145,"… he was washed until / second half of the season … you are just following a needless agenda . You may be an average football fanatic , not !",sports,0.18253209,0.028256943,0.041393913,0.018225161,0.010483204,0.49205312,0.019719688
146,"4 a season . But still his ' s , mu & ; ?",sports,0.022213135,0.0077033183,0.011600466,0.007742874,0.014088329,0.07844311,0.027956279
147,v2 tax ' t materialize,sports,0.011661896,0.011660317,0.033170346,0.022874514,0.03227582,0.126738,0.029891627
148,"is during off season , so we can ' t change our to suit "" "", it ' s not like they would do the same if they were in the same position , besides if that ' s how you feel about in your team then I guess president is right",sports,0.016798683,0.020628087,0.04981844,0.020034837,0.02431928,0.26378962,0.027771315
149,"I can ' t believe a lot of people in the are saying should change calendar to accommodate , I ' m not mention the weather affecting the during our winter , do you there are also domestic league ' s in 🤷🏾‍♂️",sports,0.035134587,0.017444775,0.055961926,0.02458565,0.035324093,0.19989312,0.0515665
150,"They said the reason why rubbish in is because , they him in 😭",sports,0.4151741,0.2040097,0.13198623,0.39952987,0.081514604,0.6579278,0.17006114
151,It is a proper squad 🤣🤣🤣,sports,0.06851897,0.035045292,0.051335566,0.05464716,0.075355075,0.13075222,0.2187768
152,he ’ s always been good but the just off i guess . brought everyone back onto him,sports,0.046465382,0.042775363,0.058435157,0.086532295,0.098953255,0.44323364,0.113884166
153,"arthur34 er yeah , despite him being a all were so it can only be",sports,0.094410956,0.07830136,0.08651406,0.16224054,0.18673238,0.5883749,0.15099102
154,"Pure racism my . He is a useless president , no respect for him since he can ’ t respect .",sports,0.6221407,0.448878,0.66083676,0.40288615,0.06374717,0.8602323,0.0654219
155,is good man . Did u watch ? He pocketed something which become difficult for,sports,0.15684792,0.024812974,0.033417642,0.03646164,0.051194448,0.30001602,0.039125837
156,Please shut up if you don ’ t have better reason to give . Show some respect to .,sports,0.4945446,0.20861128,0.14276507,0.24248073,0.04001969,0.57052904,0.2699712
157,he ’ s been so dodgy since . needs to improve,sports,0.24991328,0.06586943,0.10407246,0.08208012,0.045723777,0.47300762,0.15728565
158,💀 he it ’ s,sports,0.22990009,0.11474374,0.11530563,0.17721395,0.16457382,0.188851,0.32580653
159,"' s beach soccer team , Black beat select side 11 - 3 in a friendly game on . The the Sand ' s of 6 - 5 in the first leg of the 2022 Beach Soccer a fortnight ago at the Beach , . 📷: 1 / 3",sports,0.11407687,0.08884893,0.29143116,0.07215052,0.057479568,0.08983865,0.3033969
160,like an game . Just brute force and .,sports,0.11407687,0.12609163,0.14382999,0.17463546,0.15126215,0.122232325,0.23629446
161,' s deal may seem irrelevant until it ' s time for,sports,0.04680874,0.051219556,0.094241396,0.08272075,0.11332085,0.18220147,0.19067037
